name,age,city,number_of_children,spouse_name,number_of_siblings,occupation,sex
Miguel Castillo,61,Brownview,4,Joseph James,5,Water quality scientist,Other
Marilyn Dawson,51,Ashleyville,1,Jill Roach,1,Restaurant manager,Other
Albert Holland,29,Bobbyburgh,1,Edward Livingston,8,Insurance claims handler,Male
Eduardo Watson,64,Rojasfort,4,Michael Young,8,Operations geologist,Other
Laura Tucker,29,Eduardoburgh,0,Patricia Montoya,2,Patent examiner,Male
David Smith,37,Jennifermouth,4,Lindsey Rodriguez,4,Animator,Other
Katrina Adams,59,Lake Amberbury,1,Jared Walker,0,Theatre manager,Female
Angela Stanley,50,South Clinton,2,Kyle Miranda,3,Private music teacher,Male
Mathew Ho,79,East Stacey,1,Travis Elliott,4,"Designer, graphic",Other
Nicole Garcia,21,Peggyshire,1,Nancy Wilson,9,Estate agent,Female
Jonathan Aguilar,79,East Joefort,4,Tyrone Lindsey,0,Manufacturing systems engineer,Other
Taylor Patterson,89,Port Austin,3,Julie Mitchell,5,Animator,Female
Jon Henry,58,South Jaclynport,2,Natasha Lopez,4,Print production planner,Other
Dawn Le,50,New Christopher,5,Pamela Ramirez,2,"Conservation officer, historic buildings",Female
Morgan Parsons,35,Tinaside,4,Anthony Sanchez,9,"Production assistant, television",Female
William Reese,74,Willistown,4,Jeffrey Lester,5,Communications engineer,Other
Stacey Nichols,78,Jessicamouth,0,Janet Lopez,7,Travel agency manager,Female
Joseph Singh,30,New Edward,1,Eileen Romero,3,Marine scientist,Female
Tracey Sims,25,Randyville,2,Danielle Kim,1,Geographical information systems officer,Male
Melissa Roman,56,West Angela,5,Richard Green,7,Counselling psychologist,Male
Joan Goodwin,46,Gonzalezshire,0,Christopher Rose,6,Sport and exercise psychologist,Other
Walter Chan,50,New Johnmouth,1,Amy Jones,1,"Teacher, music",Male
Clifford Howard,91,West Rebecca,1,Lisa Sullivan,5,Hospital pharmacist,Female
Kristen Crawford,37,West Wendyville,4,Brandon Pierce,4,Retail manager,Female
Jerry Branch,95,West Richardchester,2,Nicholas Jones,8,Chartered management accountant,Male
Dawn Wood,96,South Renee,1,Kimberly Hodges,0,Clinical psychologist,Other
Michael Baker,95,North Brittany,0,Lauren Whitney,3,Medical sales representative,Female
Rebecca Miller,28,Jonathanbury,5,Billy Blake,10,Broadcast journalist,Other
Rita Pruitt,56,Jacobburgh,0,Lynn Tran,5,Production engineer,Other
Jeffrey Christian II,21,Frostborough,1,April Wiley,1,"Presenter, broadcasting",Female
Robin Meyer,26,Port Amandaport,5,Kyle Sloan,0,"Engineer, electrical",Female
Ann Stephenson,25,Jodiville,0,Julia Johnson,0,Horticultural therapist,Female
Carla Reed,33,Port Jonathan,4,Jose Hodges,0,Nutritional therapist,Female
Christina Padilla,19,Crystalbury,0,Sandra Lawrence,0,Manufacturing systems engineer,Female
Joseph Weaver,22,South Kimside,5,Joshua Mcguire,0,Recycling officer,Other
Wendy Pierce,76,Jasonburgh,2,Amanda Acosta,4,Manufacturing engineer,Other
Carolyn Chapman,81,Sandrashire,4,Kyle Ramos,9,Quarry manager,Other
Arthur Patel,36,North Jennifer,2,Holly Burke MD,5,Trade union research officer,Other
Brittany Rogers,31,East Jennifer,2,Casey Miller PhD,7,Patent attorney,Other
Anne Patel,75,Smithview,1,Chris Bates,5,"Psychologist, forensic",Male
Janice Wood,32,East Dana,2,John Chapman,6,Television floor manager,Male
Mark Diaz,86,Gonzalezfort,0,James Craig,9,Prison officer,Female
Deanna Greene,36,Singhmouth,5,Aaron Rodriguez,4,Advertising account executive,Male
Benjamin Glass,76,Barberbury,3,Laura King,0,"Teacher, primary school",Other
Gina Hoffman,91,South Michael,2,Tyler Mooney,3,Transport planner,Other
Rebecca Estes,24,Watkinsville,3,Miss Sherry Russell,6,Early years teacher,Male
Isaac Santos,52,Lake Erikashire,2,Breanna Stone,3,"Conservation officer, historic buildings",Other
Sarah Thomas,23,Kelliemouth,2,Valerie Kelley,8,Passenger transport manager,Other
Gary Pierce,67,East Deborahland,3,Susan Flores,4,Newspaper journalist,Other
Jose Young,45,Gillespiechester,1,Patrick Taylor,2,Chief Technology Officer,Other
Brian Martinez,20,Kingberg,2,Ashley White,2,Trading standards officer,Female
Tina Nelson,87,Davidport,3,Randy Wolf,6,Photographer,Female
Derek Cohen,23,Morganton,4,Mrs. Lisa Brown,5,Research scientist (maths),Male
Richard Rhodes,75,East Michelle,3,Tina Henry,3,Surgeon,Female
Scott Key,71,Port Shannonport,4,Marissa Campbell,10,Materials engineer,Male
Larry Warner,57,Nobleberg,0,Robert Huff,2,Field trials officer,Other
Tiffany Lozano,73,Michaelborough,0,Sydney Brown,5,"Therapist, speech and language",Other
Angela Washington,36,West Robertside,2,John Choi,8,Garment/textile technologist,Male
Emily Glass,58,South Hannahfurt,3,Jeffery Jones II,2,"Engineer, water",Female
Danielle Chung,55,New Ernest,2,Audrey Stanton,10,Prison officer,Other
John Cox,63,Lake Matthew,1,Katherine Soto,8,Armed forces operational officer,Female
Paul Douglas,71,Amandachester,3,Christina Luna,3,Product designer,Female
Michael Ramsey,75,Mullinsport,3,Leah Watson,1,Futures trader,Other
Christopher Barton,48,Leslieshire,4,Victoria Brooks,3,"Programmer, systems",Female
Terri Stevens,86,Watsonmouth,1,Benjamin Cox,9,Merchant navy officer,Male
Kathryn Salinas,69,Port Samantha,5,Robert Lawson Jr.,7,Multimedia specialist,Female
Louis Peters,55,East Andrea,5,John Lambert,4,Architect,Female
Anna Douglas,32,Port Shelly,2,Todd Fletcher,6,Horticultural consultant,Male
Karen Becker,96,East Jesseburgh,4,Richard Rivera,9,Seismic interpreter,Female
Ashley Vaughn,97,Kylechester,1,Debbie Tate,7,"Nurse, adult",Other
Benjamin Suarez,56,North Jamesborough,3,Lauren Norton,9,Ambulance person,Male
Angela Bird,83,East Sara,2,Dean Hernandez,3,Research scientist (medical),Male
Katherine Austin,51,West Brian,3,Margaret King,8,"Investment banker, corporate",Male
Daniel Kirk,20,Port Sylviaberg,0,Alexis Herring,2,"Buyer, industrial",Male
Jacob Gill,54,New Charles,3,Angela Smith,2,Fashion designer,Other
Laurie Mcneil,80,Taylorshire,2,Craig Fowler,5,"Copywriter, advertising",Male
Ashley King,77,Rebekahfort,4,Amy Ayala,4,Metallurgist,Male
